p,propLabel,eff
http://www.wikidata.org/prop/direct/P5695,Bibliopoche author ID,261
http://www.wikidata.org/prop/direct/P5489,artist-info artist ID,260
http://www.wikidata.org/prop/direct/P8974,SAPA ID,260
http://www.wikidata.org/prop/direct/P4457,DAHR artist ID,258
http://www.wikidata.org/prop/direct/P9707,GCD creator ID,254
http://www.wikidata.org/prop/direct/P793,significant event,253
http://www.wikidata.org/prop/direct/P902,HDS ID,253
http://www.wikidata.org/prop/direct/P947,RSL ID (person),252
http://www.wikidata.org/prop/direct/P5905,Comic Vine ID,252
http://www.wikidata.org/prop/direct/P451,unmarried partner,251
http://www.wikidata.org/prop/direct/P1741,GTAA ID,248
http://www.wikidata.org/prop/direct/P2342,AGORHA person/institution ID,248
http://www.wikidata.org/prop/direct/P1344,participant in,247
http://www.wikidata.org/prop/direct/P10780,Radio France person ID,246
http://www.wikidata.org/prop/direct/P241,military branch,242
http://www.wikidata.org/prop/direct/P4459,Spanish Biographical Dictionary ID,242
http://www.wikidata.org/prop/direct/P4927,Invaluable.com person ID,240
http://www.wikidata.org/prop/direct/P9661,EBAF authority ID,240
http://www.wikidata.org/prop/direct/P13371,Historia Hispánica ID,240
http://www.wikidata.org/prop/direct/P9493,artist files at,230
http://www.wikidata.org/prop/direct/P3051,Kindred Britain ID,227
http://www.wikidata.org/prop/direct/P10297,Google Arts & Culture entity ID,225
http://www.wikidata.org/prop/direct/P2032,work period (end),224
http://www.wikidata.org/prop/direct/P4862,Amazon author ID,223
http://www.wikidata.org/prop/direct/P7212,LyricsTranslate ID,219
http://www.wikidata.org/prop/direct/P10527,documentation files at,218
http://www.wikidata.org/prop/direct/P1607,Dialnet author ID,217
http://www.wikidata.org/prop/direct/P11158,Dimitri and Aliki Perrotis Central Library ID,217
http://www.wikidata.org/prop/direct/P7444,Rijksmuseum Research Library authority ID,216
http://www.wikidata.org/prop/direct/P7024,Flemish Public Libraries ID,214
http://www.wikidata.org/prop/direct/P8406,Grove Art Online ID,214
http://www.wikidata.org/prop/direct/P4200,Christie's creator ID,212
http://www.wikidata.org/prop/direct/P172,ethnic group,211
http://www.wikidata.org/prop/direct/P4359,gravsted.dk ID,209
http://www.wikidata.org/prop/direct/P5859,Adelphi author ID,208
http://www.wikidata.org/prop/direct/P10298,Sceneweb artist ID,208
http://www.wikidata.org/prop/direct/P9534,Biblioteche della Custodia di Terra Santa a Gerusalemme ID,207
http://www.wikidata.org/prop/direct/P8085,Curran Index contributor ID,206
http://www.wikidata.org/prop/direct/P3973,PIM authority ID,204
http://www.wikidata.org/prop/direct/P1213,NLC authorities,201
http://www.wikidata.org/prop/direct/P9594,Bodleian Archives & Manuscripts person ID,200
http://www.wikidata.org/prop/direct/P5375,BIU Santé person ID,198
http://www.wikidata.org/prop/direct/P6868,Hoopla artist ID,198
http://www.wikidata.org/prop/direct/P12800,Vikidia article ID,198
http://www.wikidata.org/prop/direct/P1787,art name,197
http://www.wikidata.org/prop/direct/P6058,Larousse ID,197
http://www.wikidata.org/prop/direct/P4813,PARES ID,196
http://www.wikidata.org/prop/direct/P9802,Penguin Random House author ID,196
http://www.wikidata.org/prop/direct/P1050,medical condition,195
http://www.wikidata.org/prop/direct/P3569,Cultureel Woordenboek ID,192
http://www.wikidata.org/prop/direct/P9001,Literary Encyclopedia ID,192
http://www.wikidata.org/prop/direct/P701,Dodis ID,189
http://www.wikidata.org/prop/direct/P856,official website,188
http://www.wikidata.org/prop/direct/P4839,Wolfram Language entity code,188
http://www.wikidata.org/prop/direct/P2843,Benezit ID,187
http://www.wikidata.org/prop/direct/P7745,Movie Walker Press person ID,186
http://www.wikidata.org/prop/direct/P7796,BeWeb person ID,185
http://www.wikidata.org/prop/direct/P9556,LTit person ID,183
http://www.wikidata.org/prop/direct/P611,religious order,182
http://www.wikidata.org/prop/direct/P4491,Isidore scholar ID,182
http://www.wikidata.org/prop/direct/P8870,Hyperion Records person ID,182
http://www.wikidata.org/prop/direct/P443,pronunciation audio,181
http://www.wikidata.org/prop/direct/P97,noble title,179
http://www.wikidata.org/prop/direct/P4955,MR Author ID,179
http://www.wikidata.org/prop/direct/P5491,BD Gest' author ID,178
http://www.wikidata.org/prop/direct/P5390,Classiques des sciences sociales ID,177
http://www.wikidata.org/prop/direct/P5882,Muziekweb performer ID,177
http://www.wikidata.org/prop/direct/P7507,Ben Yehuda author ID,177
http://www.wikidata.org/prop/direct/P3123,Stanford Encyclopedia of Philosophy ID,175
http://www.wikidata.org/prop/direct/P1142,political ideology,174
http://www.wikidata.org/prop/direct/P13226,Hessian Biography person (GND) ID,173
http://www.wikidata.org/prop/direct/P5341,Poetry Foundation ID,172
http://www.wikidata.org/prop/direct/P410,military or police rank,170
http://www.wikidata.org/prop/direct/P2632,place of detention,169
http://www.wikidata.org/prop/direct/P9226,ARAE ID,169
http://www.wikidata.org/prop/direct/P2650,interested in,167
http://www.wikidata.org/prop/direct/P8953,Students of Prague Universities ID,163
http://www.wikidata.org/prop/direct/P5002,Orthodox Encyclopedia ID,161
http://www.wikidata.org/prop/direct/P9141,Portal da Literatura ID,161
http://www.wikidata.org/prop/direct/P6404,Treccani's Dizionario di Storia ID,160
http://www.wikidata.org/prop/direct/P8547,BHF author ID,159
http://www.wikidata.org/prop/direct/P2268,Musée d'Orsay artist ID,158
http://www.wikidata.org/prop/direct/P6300,Hymnary author ID,158
http://www.wikidata.org/prop/direct/P7848,Frick Art Research Library Artist File ID,158
http://www.wikidata.org/prop/direct/P4399,Itaú Cultural ID,157
http://www.wikidata.org/prop/direct/P5101,Swedish Literature Bank Author ID,157
http://www.wikidata.org/prop/direct/P6873,IntraText author ID,157
http://www.wikidata.org/prop/direct/P9885,Bing entity ID,157
http://www.wikidata.org/prop/direct/P8591,Grove Music Online ID,154
http://www.wikidata.org/prop/direct/P11041,kulturstiftung.org person ID,154
http://www.wikidata.org/prop/direct/P6578,MutualArt artist ID,153
http://www.wikidata.org/prop/direct/P8848,CONOR.AL ID,152
http://www.wikidata.org/prop/direct/P8998,Magyar életrajzi lexikon ID,152
http://www.wikidata.org/prop/direct/P1438,Jewish Encyclopedia ID (Russian),151
