,personUri,personLabel,birthYear,gender,countries,continents,occupations,fields
210,http://www.wikidata.org/entity/Q125462,Karl Ludwig von Haller,1768,male,Switzerland,Europe,"economist, jurist, non-fiction writer, philosopher, politician, university teacher, writer",opinion journalism
212,http://www.wikidata.org/entity/Q3557077,Victor-Donatien de Musset-Pathay,1768,male,France,Europe,"archaeologist, civil servant, historian, writer","literature, state administration"
213,http://www.wikidata.org/entity/Q319675,Buddha Loetla Nabhalai,1768,male,Thailand,Asia,"poet, sovereign, writer","dance, drama, literature"
214,http://www.wikidata.org/entity/Q3383066,Pierre François Tissot,1768,male,France,Europe,"biographer, historian, journalist, literary scholar, poet, professor, translator, writer","literary studies, literature, translation"
216,http://www.wikidata.org/entity/Q325660,Juan Egaña,1768,male,Spanish Empire,Europe,"journalist, lawyer, politician, writer","constitutional law, philosophy"
222,http://www.wikidata.org/entity/Q69536,Adam Karl August von Eschenmayer,1768,male,Duchy of Württemberg,Europe,"philosopher, physician, university teacher","medicine, philosophy"
223,http://www.wikidata.org/entity/Q90626,Julius von Voss,1768,male,Kingdom of Prussia,Europe,"military officer, playwright, science fiction writer, translator, writer","drama, literature, translation into German"
224,http://www.wikidata.org/entity/Q1262931,Karl August Engelhardt,1768,male,Germany,Europe,"pedagogue, writer","archival science, educational system, literature"
225,http://www.wikidata.org/entity/Q76576,Friedrich Schleiermacher,1768,male,Kingdom of Prussia,Europe,"pedagogue, philosopher, theologian, translator, university teacher, writer","dialectic, ethics, hermeneutics, pedagogy, philosophy, theology"
227,http://www.wikidata.org/entity/Q237575,Maria Edgeworth,1768,female,United Kingdom of Great Britain and Ireland,Europe,"essayist, novelist, writer",essay
228,http://www.wikidata.org/entity/Q2336700,Jędrzej Śniadecki,1768,male,Polish–Lithuanian Commonwealth,Europe,"biologist, chemist, philosopher, physician, writer","biology, chemistry, literature, opinion journalism, philosophy"
