,personUri,personLabel,birthYear,gender,countries,continents,occupations,fields
24491,http://www.wikidata.org/entity/Q95454249,František Khol,1877,male,Czechoslovakia,Europe,"dramaturge, entrepreneur, librarian, prose writer, secretary, translator, writer","dramaturgy, library, libretto, literature, translating activity"
24494,http://www.wikidata.org/entity/Q93260531,Timotheus Schäfer,1877,male,Germany,Europe,"jurist, philosopher, religious, theologian","canon law, philosophy"
24495,http://www.wikidata.org/entity/Q100032165,Ottone Schanzer,1877,male,Austria,Europe,"playwright, poet, translator, writer","literature, music, musical theater, poetry, translating activity"
24497,http://www.wikidata.org/entity/Q4539963,Aleksandr Yaschenko,1877,male,Russian Empire,North America,"jurist, philosopher",jurisprudence
24500,http://www.wikidata.org/entity/Q1364954,William David Ross,1877,male,United Kingdom,Europe,"philosopher, translator",philosophy
24501,http://www.wikidata.org/entity/Q5758296,Philip Gibbs,1877,male,United Kingdom,Europe,"journalist, novelist, war correspondent, writer","journalism, prose, war journalism"
24507,http://www.wikidata.org/entity/Q12016963,František Chudoba,1877,male,Czechoslovakia,Europe,"pedagogue, philologist, teacher, translator, writer","English, English studies, history of literature, literature, pedagogy, philology, translation"
24508,http://www.wikidata.org/entity/Q46995219,Antony Andriyovych Bobulsky,1877,male,Czechoslovakia,Europe,"playwright, publisher, writer","dramatic game, literature"
24509,http://www.wikidata.org/entity/Q6780241,Mary Marcy,1877,female,United States,North America,"editing staff, journalist, poet, writer","journalism, literature"
24510,http://www.wikidata.org/entity/Q95166376,Adolf Špaldák,1877,male,Czechoslovakia,Europe,"Catholic priest, philosopher, secondary school teacher","Christianity, philosophy, social science, theology"
24511,http://www.wikidata.org/entity/Q95388242,Josef Hrdina,1877,male,Czechoslovakia,Europe,"journalist, jurist, philosopher, sociologist","journalism, law, philosophy, sociology"
24516,http://www.wikidata.org/entity/Q4200617,George Allan England,1877,male,United States,North America,"novelist, science fiction writer, translator, traveler, writer","science fiction literature, socialism, translating activity"
24517,http://www.wikidata.org/entity/Q3110603,Gonzague Truc,1877,male,France,Europe,"biographer, literary critic, writer","literary criticism, literature"
24519,http://www.wikidata.org/entity/Q20752128,Peter Benedix,1877,male,Germany,Europe,writer,"archival science, literature"
24522,http://www.wikidata.org/entity/Q6698538,Muhammed Hamdi Yazır,1878,male,Turkey,Asia,"philosopher, politician",fiqh
24523,http://www.wikidata.org/entity/Q93287619,Joseph Desaymard,1878,male,France,Europe,"philosopher, writer","literature, philosophy"
24527,http://www.wikidata.org/entity/Q313454,Jan Łukasiewicz,1878,male,Ireland,Europe,"computer scientist, mathematician, philosopher, university teacher","logic, mathematics"
24528,http://www.wikidata.org/entity/Q4114923,Kazimierz Roman Woźnicki,1878,male,Second Polish Republic,Europe,"diplomat, opinion journalist, translator, writer","collecting, diplomacy, journalism, library science, literature, translating activity"
24529,http://www.wikidata.org/entity/Q4242614,Antin Krushelnytskyi,1878,male,Soviet Union,Europe,"literary critic, secondary school teacher, writer","literary criticism, literature, teaching"
24540,http://www.wikidata.org/entity/Q94897925,Ferdinand Strejček,1878,male,Czechoslovakia,Europe,"critic, opinion journalist, playwright, prose writer, publisher, secondary school teacher, writer","educational system, history of literature, literature"
24542,http://www.wikidata.org/entity/Q4239935,Nikolai Aleksandrovich Krasheninnikov,1878,male,Russian Empire,North America,"playwright, writer","drama, literature"
24544,http://www.wikidata.org/entity/Q6032058,Ingeborg Møller,1878,female,Norway,Europe,"biographer, playwright, writer","drama, literature"
24549,http://www.wikidata.org/entity/Q6381257,Kazimierz Zdziechowski,1878,male,Poland,Europe,"literary critic, opinion journalist, writer","literary criticism, literature, opinion journalism"
24550,http://www.wikidata.org/entity/Q21539997,Alfredo Grilli,1878,male,Kingdom of Italy,Europe,"editing staff, essayist, literary critic, poet, writer","editing, literary criticism, literature"
24557,http://www.wikidata.org/entity/Q65732788,Hans Reichel,1878,male,Germany,Europe,"jurist, philosopher, university teacher","law, philosophy"
24559,http://www.wikidata.org/entity/Q28873641,Ludvík Černovický,1878,male,Czechoslovakia,Europe,"illustrator, inventor, painter, pedagogue, surveyor, teacher, writer","art of painting, geodesy, literature, pedagogy"
24560,http://www.wikidata.org/entity/Q12058875,Thea Červenková,1878,female,Czechoslovakia,Europe,"actor, film actor, film critic, film director, film producer, journalist, playwright, screenwriter, translator, writer","acting, film criticism, film direction, film screenwriting, film theory, literature"
24567,http://www.wikidata.org/entity/Q110040390,Jean-François-Louis Merlet,1878,male,France,Europe,"journalist, poet, writer","journalism, literature, poetry"
24568,http://www.wikidata.org/entity/Q18012234,Alfred Droin,1878,male,France,Europe,"poet, writer",literature
24569,http://www.wikidata.org/entity/Q3721381,Elena Bacaloglu,1878,female,Romania,Europe,"essayist, journalist, literary critic, novelist, politician, translator",essay
24571,http://www.wikidata.org/entity/Q4647724,A. E. Coppard,1878,male,United Kingdom,Europe,"autobiographer, novelist, poet, writer","poetry, prose"
24572,http://www.wikidata.org/entity/Q22351126,Hermann Graedener,1878,male,Austria,Europe,"playwright, writer","German-language literature, literature"
24575,http://www.wikidata.org/entity/Q55623667,Noël Dupire,1878,female,France,Europe,"literary critic, literary scholar","history of literature, literary criticism, literature"
24580,http://www.wikidata.org/entity/Q110224828,Jozef Wisniowski,1878,male,Second Polish Republic,Europe,"playwright, theatre manager, theatrical director, writer","literature, theatre"
24587,http://www.wikidata.org/entity/Q948713,Rafael Karsten,1879,male,Finland,Europe,"anthropologist, ethnologist, explorer, philosopher, photographer, religious studies scholar, sociologist, university teacher, writer","ethnology, practical philosophy, religious studies, sociology"
24592,http://www.wikidata.org/entity/Q21033806,Paul Distelbarth,1879,male,Germany,Europe,"journalist, opinion journalist, writer",literature
24594,http://www.wikidata.org/entity/Q15067119,Aleksey Zolotaryov,1879,male,Soviet Union,Europe,"literary critic, local historian, opinion journalist, philosopher, writer","literary criticism, literature, local history, opinion journalism, philosophy of religion"
24599,http://www.wikidata.org/entity/Q19279106,Emil R. Müller,1879,male,Germany,Europe,"printer, writer","literature, pressing"
24605,http://www.wikidata.org/entity/Q27960235,Rudolf Dammert,1879,male,Germany,Europe,"journalist, playwright, publisher, writer","drama, journalism, literature, publisher, publishing company"
24613,http://www.wikidata.org/entity/Q20172147,Georg Grunwald,1879,male,German Reich,Europe,"pedagogue, philosopher, theologian, university teacher","Catholic theology, pedagogy, philosophy, theology"
24614,http://www.wikidata.org/entity/Q8084499,Samad Mansur,1879,male,Soviet Union,Europe,"journalist, playwright, poet, theatre maker, writer","literature, poetry, theatre"
24616,http://www.wikidata.org/entity/Q786094,Lev Kobylinsky,1879,male,Russian Empire,North America,"history, linguist, philosopher, poet, translator","anthroposophy, literary theory, poetry, religious philosophy, translating activity"
24618,http://www.wikidata.org/entity/Q1555875,Gusto Gräser,1879,male,Germany,Europe,"draftsperson, orator, painter, philosopher, poet, writer","antimilitarism, asceticism, pacifism"
24620,http://www.wikidata.org/entity/Q41883847,Siska Van Daelen,1879,female,Belgium,Europe,"editor, poet, writer",literature
24621,http://www.wikidata.org/entity/Q2849450,Angelo Brucculeri,1879,male,Kingdom of Italy,Europe,"Catholic priest, Christian minister, journalist, non-fiction writer, philosopher, sociologist","journalism, medieval philosophy, pastoral care, sociology, sociology of religion"
24624,http://www.wikidata.org/entity/Q95766304,André Doderet,1879,male,France,Europe,"screenwriter, translator, writer",literature
24627,http://www.wikidata.org/entity/Q19602243,Karel Horký,1879,male,Czechoslovakia,Europe,"editing staff, journalist, literary critic, playwright, poet, prose writer, publisher, reviewer, writer","editing, journalism, literary criticism, literature, poetry, publishing"
24629,http://www.wikidata.org/entity/Q2574815,Wilhelm Sauer,1879,male,Germany,Europe,"jurist, philosopher, university teacher","criminal law, criminology, philosophy of law"
24630,http://www.wikidata.org/entity/Q18616420,Artur Buchenau,1879,male,Germany,Europe,"philosopher, teacher","freemasonry, pedagogy, philosophy"
24633,http://www.wikidata.org/entity/Q11874532,Eduard Šimek,1879,male,Czechoslovakia,Europe,"lyricist, pedagogue, playwright, poet, politician, prose writer, teacher, writer","educational system, literature, politics"
24644,http://www.wikidata.org/entity/Q15829922,Antonín Svoboda,1879,male,Czechoslovakia,Europe,"Catholic priest, opinion journalist, playwright, priest, writer","drama, literature, opinion journalism, religion"
24651,http://www.wikidata.org/entity/Q2060862,Otakar Zich,1879,male,Czechoslovakia,Europe,"aesthetician, composer, music critic, musicologist, philosopher, playwright, teacher, university teacher, writer","aesthetics, aesthetics of music, music, musicology"
24655,http://www.wikidata.org/entity/Q1818707,Leo Polak,1880,male,Kingdom of the Netherlands,Europe,"jurist, philosopher, university teacher","ethics, philosophy of law, sexual ethics"
24658,http://www.wikidata.org/entity/Q50809828,Emilio Chiocchetti,1880,male,Kingdom of Italy,Europe,"philosopher, religious, university teacher",philosophy
24661,http://www.wikidata.org/entity/Q15433791,Emil Ferdinand Malkowsky,1880,male,Germany,Europe,"journalist, narrator, screenwriter, writer",literature
24662,http://www.wikidata.org/entity/Q17362122,Bolesław Gorczyński,1880,male,Poland,Europe,"journalist, opinion journalist, playwright, theatrical director, translator","directing, literature, translation"
24664,http://www.wikidata.org/entity/Q12789239,France Kidrič,1880,male,Federal People's Republic of Yugoslavia,Europe,"literary scholar, pedagogue, philologist, slavist, writer","Slavic studies, higher education institution, history of literature, literary studies, literature, philology"
24669,http://www.wikidata.org/entity/Q4104666,Nicolai Vasiliev,1880,male,Soviet Union,Europe,"mathematician, philosopher, psychologist, writer",logic
24672,http://www.wikidata.org/entity/Q18197751,Hubert Pierquin,1880,male,France,Europe,"art critic, historian, literary critic, medievalist, poet, translator, writer","art criticism, literary criticism, literature, medieval studies, poetry, political history, translation from English, translation into French"
24681,http://www.wikidata.org/entity/Q18197579,Gauthier-Ferrières,1880,male,France,Europe,"essayist, literary scholar, poet, writer","literature, poetry"
24683,http://www.wikidata.org/entity/Q18169564,Paul Cohen-Portheim,1880,male,German Reich,Europe,"painter, translator, writer","literature, visual arts"
24684,http://www.wikidata.org/entity/Q4243633,Q4243633,1880,male,Soviet Union,Europe,"philosopher, translator",history of philosophy
24686,http://www.wikidata.org/entity/Q16268223,Lamberto Caffarelli,1880,male,Kingdom of Italy,Europe,"composer, philosopher, poet","music, philosophy, poetry"
24694,http://www.wikidata.org/entity/Q20028997,Helena Grotowska,1880,female,Poland,Europe,"official, teacher, translator, writer","educational system, literature, state administration, translating activity"
24696,http://www.wikidata.org/entity/Q943306,"Adelbert Ames, Jr.",1880,male,United States,North America,"lawyer, painter, philosopher, physicist, physiologist, psychologist",physiological optics
24699,http://www.wikidata.org/entity/Q3081769,Francis de Miomandre,1880,male,France,Europe,"journalist, literary critic, novelist, translator, writer","French literature, journalism, literary criticism, translation, translations from Spanish, writing"
24701,http://www.wikidata.org/entity/Q4924150,Blair Niles,1880,female,United States,North America,"explorer, geographer, novelist, photographer, writer","literature, travel book"
24706,http://www.wikidata.org/entity/Q95364090,Jozefína Marečková,1880,female,Czechoslovakia,Europe,"editing staff, opinion journalist, poet, writer","editing, literature, opinion journalism"
24707,http://www.wikidata.org/entity/Q12636982,Milutin Cihlar Nehajev,1880,male,"State of Slovenes, Croats and Serbs",Europe,"journalist, writer","journalism, literature, theatre criticism"
24709,http://www.wikidata.org/entity/Q5728908,Henry Sydnor Harrison,1880,male,United States,North America,"journalist, novelist, writer","creative and professional writing, journalism, prose, short story"
24720,http://www.wikidata.org/entity/Q4767634,Anna Zahorska,1881,female,Poland,Europe,"opinion journalist, poet, writer","literature, opinion journalism"
24723,http://www.wikidata.org/entity/Q39381837,Julian F. Hecker,1881,male,Soviet Union,Europe,"philosopher, sociologist, theologian","philosophy, sociology, theology"
24727,http://www.wikidata.org/entity/Q7693742,Ted Snyder,1881,male,United States,North America,"composer, lyricist","literature, music"
24728,http://www.wikidata.org/entity/Q19279289,Ernst Schulte-Strathaus,1881,male,Germany,Europe,writer,"antiquarian bookstore, astrology, history of literature, literature"
24730,http://www.wikidata.org/entity/Q1137438,Gregorio Martínez Sierra,1881,male,Spain,Europe,"film director, impresario, literary critic, novelist, playwright, poet, publisher, translator, writer","Spanish literature, drama, literary criticism, operetta, theatre"
24732,http://www.wikidata.org/entity/Q566764,Nikolaj Velimirović,1881,male,United States,North America,"Eastern Orthodox priest, philosopher, poet, theologian, writer",theology
24733,http://www.wikidata.org/entity/Q16028173,Natalie Sumner Lincoln,1881,female,United States,North America,"novelist, writer",literature
24741,http://www.wikidata.org/entity/Q711903,Albert Gleizes,1881,male,France,Europe,"art critic, art theorist, draftsperson, illustrator, painter, philosopher, printmaker, writer","Cubism, Q16520492, art of painting, art theory, visual arts"
24743,http://www.wikidata.org/entity/Q9146081,Aleksandr Slonimsky,1881,male,Soviet Union,Europe,"editing staff, journalist, lecturer, literary scholar, writer","journalism, literary studies, literature"
24745,http://www.wikidata.org/entity/Q598173,Antoni Łomnicki,1881,male,Poland,Europe,"mathematician, philosopher, secondary school teacher, university teacher","didactic method, geometry, mathematical analysis, mathematical cartography, mathematical statistics, mathematics, probability theory"
24747,http://www.wikidata.org/entity/Q4069678,Maxwell Armfield,1881,male,United Kingdom,Europe,"illustrator, painter, visual artist, writer","literature, visual arts"
24748,http://www.wikidata.org/entity/Q5126421,Clarence Budington Kelland,1881,male,United States,North America,"humorist, journalist, novelist, screenwriter, writer","creative and professional writing, detective literature, prose, western fiction"
24752,http://www.wikidata.org/entity/Q123596296,Hans Müller,1881,male,Germany,Europe,"historian, librarian","German studies, Protestant theology, history, philosophy"
24754,http://www.wikidata.org/entity/Q6470403,Margaret Sackville,1881,female,United Kingdom,Europe,"poet, writer","literature, poetry"
24760,http://www.wikidata.org/entity/Q15428656,Friedrich Lützow,1881,male,Germany,Europe,"military officer, non-fiction writer, writer","literature, navy"
24761,http://www.wikidata.org/entity/Q100592158,Jan Marcińczyk,1881,male,Second Polish Republic,Europe,"historian, military officer, poet","history, literature, military"
24763,http://www.wikidata.org/entity/Q55681225,Cyril Merhout,1881,male,Czechoslovakia,Europe,"editing staff, historian, opinion journalist, teacher, writer","cultural history, historic preservation, literature, opinion journalism"
24764,http://www.wikidata.org/entity/Q20478482,Samu Szemere,1881,male,Hungary,Europe,"aesthetician, philosopher, translator, writer","aesthetics, philosophy"
24765,http://www.wikidata.org/entity/Q6524081,Leo Myers,1881,male,United Kingdom,Europe,"poet, writer",literature
24770,http://www.wikidata.org/entity/Q41711685,Paul Eger,1881,male,Switzerland,Europe,"director, dramaturge, playwright, theatre manager, theatrical director, writer","drama, literature, theatre"
24772,http://www.wikidata.org/entity/Q24288195,Imre Földes,1881,male,Hungary,Europe,"playwright, screenwriter, writer","drama, literature"
24775,http://www.wikidata.org/entity/Q4267398,Antin Lototskyi,1881,male,West Ukrainian People's Republic,Europe,"journalist, writer","children's and youth literature, journalism, literature, publishing"
24776,http://www.wikidata.org/entity/Q7945956,Julia Wieleżyńska,1881,female,Poland,Europe,"literary critic, philosopher, poet, translator, writer","creative and professional writing, history of literature, literary criticism, poetry, translating activity"
24779,http://www.wikidata.org/entity/Q5970114,Gunnar Löwegren,1881,male,Sweden,Europe,"editing staff, politician, translator, writer","journalism, literature, politics"
24781,http://www.wikidata.org/entity/Q27877002,Rudolf Hruschka,1881,male,Austria,Europe,"pedagogue, teacher, writer","literature, local history, pedagogy, regional history"
24783,http://www.wikidata.org/entity/Q3300492,Maurice Brillant,1881,male,France,Europe,"art critic, church historian, novelist, poet, university teacher, writer","Catholic literature, Hellenistic period, art criticism, history of Christianity, history of religions, poetry"
24787,http://www.wikidata.org/entity/Q720022,Ber Borochov,1881,male,Russian Empire,North America,"linguist, philosopher","Marxism, Yiddish, Zionism, linguistics"
24789,http://www.wikidata.org/entity/Q59392333,Leontina Mašínová,1882,female,Czechoslovakia,Europe,"poet, teacher, translator, writer","children's and youth literature, educational system, literature, translation, translation into Polish"
24790,http://www.wikidata.org/entity/Q10820125,Andrej Hvizdák,1882,male,Czechoslovakia,Europe,"librarian, opinion journalist, poet, politician, writer","library science, literature, opinion journalism, politics"
24797,http://www.wikidata.org/entity/Q15407395,Pierre Mortier,1882,male,France,Europe,"journalist, playwright, politician, writer","drama, journalism, literature, politics"
24798,http://www.wikidata.org/entity/Q89334181,Eduardo Acevedo Díaz,1882,male,Argentina,South America,"historian, jurist, lawyer, novelist, university teacher, writer","education, literature, novel"
24799,http://www.wikidata.org/entity/Q1475938,Rudolf Laun,1882,male,Germany,Europe,"jurist, philosopher, political scientist, university teacher","administrative justice, administrative law, constitutional law, international law, philosophy of law, public law"
24800,http://www.wikidata.org/entity/Q12171080,Mykyta Shapoval,1882,male,Russian Empire,North America,"opinion journalist, poet, politician, sociologist, writer","literature, politics, sociology"
24811,http://www.wikidata.org/entity/Q3129247,Hector Fleischmann,1882,male,Belgium,Europe,"historian, journalist, literary, media proprietor, novelist, poet, theatre manager",history
24812,http://www.wikidata.org/entity/Q1905536,Martina Wied,1882,female,Austria,Europe,"literary critic, novelist, poet, writer","creative and professional writing, literary criticism, poetry, prose"
24813,http://www.wikidata.org/entity/Q602468,Louis Pergaud,1882,male,France,Europe,"novelist, poet, school teacher, screenwriter, writer","poetry, prose"
24816,http://www.wikidata.org/entity/Q2089198,Phyllis Bottome,1882,female,United Kingdom,Europe,"biographer, novelist, writer","literary activity, prose"
24820,http://www.wikidata.org/entity/Q110227184,Wolf von Dewall,1882,male,Germany,Europe,"editing staff, editor, journalist","literature, newspaper"
24822,http://www.wikidata.org/entity/Q6016229,Ludvig Nordström,1882,male,Sweden,Europe,"draftsperson, journalist, painter, poet, writer","journalism, literature"
24825,http://www.wikidata.org/entity/Q3060022,Eugène Marsan,1882,male,France,Europe,"journalist, literary critic, writer","literary criticism, literature"
24826,http://www.wikidata.org/entity/Q107642614,Garnett Gladwin Sedgewick,1882,male,Canada,North America,"columnist, head teacher, lecturer, literary scholar, university teacher, writer","English studies, education, higher education, literature, pedagogy"
24830,http://www.wikidata.org/entity/Q90081180,Q90081180,1882,female,Russian Empire,North America,"art critic, historian","art criticism, history, philosophy, translation into Russian"
24836,http://www.wikidata.org/entity/Q40604649,Adolf Velhartický,1882,male,Czechoslovakia,Europe,"mayor, playwright, poet, translator, writer","literature, translation"
24837,http://www.wikidata.org/entity/Q19945349,Vladimír Hoppe,1882,male,Czechoslovakia,Europe,"philosopher, university teacher",philosophy
24840,http://www.wikidata.org/entity/Q16028160,Richard Keverne,1882,male,United Kingdom,Europe,"journalist, novelist, writer","detective literature, journalism, literature"
24843,http://www.wikidata.org/entity/Q95361903,Karel Čvančara,1882,male,Czechoslovakia,Europe,"editing staff, journalist, opinion journalist, playwright, prose writer, theatrologist, translator, writer","drama, literature, opinion journalism, theatre studies, translation"
24844,http://www.wikidata.org/entity/Q16750815,George Freeland Barbour,1882,male,United Kingdom of Great Britain and Ireland,Europe,"philosopher, poet, politician, writer","literature, philosophy, poetry"
24849,http://www.wikidata.org/entity/Q5799669,Gustaf Hellström,1882,male,Sweden,Europe,"journalist, literary critic, writer","journalism, literary criticism, literature"
24852,http://www.wikidata.org/entity/Q15453784,Viktor Hofmann,1882,male,Russian Empire,North America,"literary critic, poet, prose writer, translator, writer","literary criticism, literature, poetry, translating activity"
24854,http://www.wikidata.org/entity/Q1346410,Henry M. Sheffer,1882,male,United States,North America,"mathematician, philosopher, university teacher",logic
24860,http://www.wikidata.org/entity/Q58216405,Marie-Antonin-Gustave Patou,1883,male,France,Europe,"novelist, writer",literature
24861,http://www.wikidata.org/entity/Q26761804,Dora Wentscher,1883,female,German Democratic Republic,Europe,"novelist, painter, sculptor, stage actor, visual artist, writer","literature, visual arts"
24862,http://www.wikidata.org/entity/Q12026855,Josef Šimánek,1883,male,Czechoslovakia,Europe,"editing staff, librarian, poet, science fiction writer, writer","editing, library science, literary activity, literature, scouting"
24870,http://www.wikidata.org/entity/Q15454144,W. C. Tuttle,1883,male,United States,North America,"screenwriter, writer","film, literature, travel literature, western fiction"
24874,http://www.wikidata.org/entity/Q11890496,Reino Silvanto,1883,male,Finland,Europe,"diplomat, translator, writer","diplomacy, literature, translation, translation from Czech, translation from Russian, translations from Polish"
24876,http://www.wikidata.org/entity/Q55679287,Otomar Schäfer,1883,male,Czechoslovakia,Europe,"editing staff, playwright, writer",literature
24880,http://www.wikidata.org/entity/Q2493856,Dmytro Dontsov,1883,male,Russian Empire,North America,"journalist, literary critic, opinion journalist, philosopher, politician","literary criticism, opinion journalism"
24883,http://www.wikidata.org/entity/Q13538870,Samuel Cambel,1883,male,Slovakia,Europe,"translator, writer","Hungarian, literature, poetry, prose, translation"
24885,http://www.wikidata.org/entity/Q112549626,Lucreția Petrescu,1883,female,Romania,Europe,"playwright, writer","drama, literature"
24892,http://www.wikidata.org/entity/Q809218,Bart de Ligt,1883,male,Kingdom of the Netherlands,Europe,"pastor, philosopher, theologian, women's rights activist, writer","anarchism, antimilitarism, pacifism"
24894,http://www.wikidata.org/entity/Q84554182,Bruno Weil,1883,male,German Empire,Europe,"jurist, lawyer, notary, opinion journalist, writer","law, literature, opinion journalism, politics"
24899,http://www.wikidata.org/entity/Q1503475,Georg Achtelstetter,1883,male,Germany,Europe,"painter, writer","art of painting, literature"
24903,http://www.wikidata.org/entity/Q2418083,Theodor Erismann,1883,male,Switzerland,Europe,"philosopher, psychologist, university teacher","ethics, experimental psychology, ontology, psychological research, psychology"
24904,http://www.wikidata.org/entity/Q5921201,Howard Walter,1883,male,United States,North America,writer,"congregationalist polity, literature"
24905,http://www.wikidata.org/entity/Q6698651,Julian Tokarski,1883,male,Poland,Europe,"geologist, mineralogist, philosopher, university teacher","geology, mineralogy, pedology"
24907,http://www.wikidata.org/entity/Q3084516,François Duhourcau,1883,male,France,Europe,"biographer, essayist, historian, novelist, prose writer","creative and professional writing, historiography"
24909,http://www.wikidata.org/entity/Q3167016,Jean-Louis Vaudoyer,1883,male,France,Europe,"art historian, curator, novelist, poet, writer","Provence, culture of Europe, culture of Italy, history of art in Europe"
24915,http://www.wikidata.org/entity/Q55676593,Otakar Šourek,1883,male,Czechoslovakia,Europe,"musicologist, pianist, writer","choir, literature, music journalism, musicology, piano performance"
24916,http://www.wikidata.org/entity/Q59525679,Gottfried Bohnenblust,1883,male,Switzerland,Europe,"germanist, pedagogue, writer","German studies, literature"
24918,http://www.wikidata.org/entity/Q2787340,Francisco García Calderón Rey,1883,male,Peru,South America,"diplomat, philosopher, politician, writer",foreign policy
24924,http://www.wikidata.org/entity/Q1356499,Ernest Psichari,1883,male,France,Europe,"military officer, military personnel, novelist, soldier, writer","autobiography, literary activity, military affairs"
24929,http://www.wikidata.org/entity/Q17350198,Jean des Cognets,1884,male,France,Europe,"editor, journalist, jurist, screenwriter, writer","journalism, law, literature"
24930,http://www.wikidata.org/entity/Q1354247,Oscar Micheaux,1884,male,United States,North America,"actor, film director, film producer, novelist, screenwriter, writer","creative and professional writing, film direction, filmmaking"
24931,http://www.wikidata.org/entity/Q9258701,Feliks Młynarski,1884,male,Poland,Europe,"banker, economist, philosopher, university teacher","economics, economics of banking"
24934,http://www.wikidata.org/entity/Q12148669,Natalya Romanovych-Tkachenko,1884,female,Soviet Union,Europe,"translator, writer","literature, translating activity"
24944,http://www.wikidata.org/entity/Q5700037,Antonio Velasco Zazo,1884,male,Spain,Europe,"chronicler, journalist, novelist, playwright",Historia moderna
24945,http://www.wikidata.org/entity/Q12025950,Josef David,1884,male,Czechoslovakia,Europe,"editing staff, journalist, opinion journalist, politician, writer","editing, journalism, literature, opinion journalism, politics"
24948,http://www.wikidata.org/entity/Q3083952,François Bernouard,1884,male,France,Europe,"playwright, poet, publisher","literature, poetry, publishing"
24952,http://www.wikidata.org/entity/Q19691543,Marian Łodyński,1884,male,Poland,Europe,"historian, librarian, military officer, philosopher","bibliography, history of libraries, philosophy"
24954,http://www.wikidata.org/entity/Q47451073,Robert Lohan,1884,male,Austria,Europe,"journalist, non-fiction writer, teacher, theatrical director, writer","directing, history of literature, journalism, literature"
24958,http://www.wikidata.org/entity/Q4738718,Alyse Gregory,1884,female,United States,North America,"essayist, novelist, suffragist, writer",essay
24962,http://www.wikidata.org/entity/Q19043620,Sylvia Leith-Ross,1884,female,United Kingdom,Europe,"anthropologist, writer","anthropology, literature"
24964,http://www.wikidata.org/entity/Q5897778,Jalo Kalima,1884,male,Finland,Europe,"linguist, novelist, professor, translator",philology
24970,http://www.wikidata.org/entity/Q2626957,Firmin Van Hecke,1884,male,Belgium,Europe,"executive, poet, writer","literature, poetry"
24972,http://www.wikidata.org/entity/Q16854641,Maurice Lecat,1884,male,Belgium,Europe,"chemist, mathematician, philosopher, researcher, translator","chemistry, mathematics, philosophy"
24976,http://www.wikidata.org/entity/Q12026710,Josef Vašica,1884,male,Czechoslovakia,Europe,"Catholic priest, linguist, opinion journalist, pedagogue, philologist, slavist, theologian, translator, university teacher","Christian Church, education, literature, opinion journalism, translation"
24978,http://www.wikidata.org/entity/Q6758146,Marcus Eli Ravage,1884,male,France,Europe,writer,literature
24983,http://www.wikidata.org/entity/Q5560837,Gilbert Cannan,1884,male,United Kingdom,Europe,"novelist, translator, writer","novel, translation"
24986,http://www.wikidata.org/entity/Q6503903,Lawrence C. Wroth,1884,male,United States,North America,"bibliologist, historian, librarian, university teacher, writer","bibliography, bibliology, biography, history, library science, literature"
24987,http://www.wikidata.org/entity/Q16904220,Wuliang Xie,1884,male,People's Republic of China,Asia,politician,philosophy
24989,http://www.wikidata.org/entity/Q3300825,Maurice Gauchez,1884,male,Belgium,Europe,"novelist, poet",Belgian literature
24993,http://www.wikidata.org/entity/Q2589128,Wolfgang Balzer,1884,male,Germany,Europe,"art historian, writer","art history, literature"
24994,http://www.wikidata.org/entity/Q949281,Jean-Richard Bloch,1884,male,France,Europe,"historian, journalist, literary critic, novelist, pedagogue, playwright, politician, prose writer, translator, writer","drama, journalism, pedagogy, prose, translation"
24995,http://www.wikidata.org/entity/Q24043876,Otakar Kunstovný,1884,male,Czechoslovakia,Europe,"philologist, secondary school teacher, teacher, translator","educational system, linguistics, philosophy, translation"
24998,http://www.wikidata.org/entity/Q905323,Richard Weiner,1884,male,Czechoslovakia,Europe,"chemist, critic, journalist, novelist, opinion journalist, poet, translator, writer","creative and professional writing, journalism, translation from French"
25001,http://www.wikidata.org/entity/Q3385708,Pierre Lachièze-Rey,1885,male,France,Europe,"philosopher, university teacher","history of philosophy, history of theology"
25003,http://www.wikidata.org/entity/Q25929799,J. E. Harold Terry,1885,male,United Kingdom,Europe,"actor, critic, novelist, playwright, writer","acting, drama, literature, theatre, theatre criticism"
25004,http://www.wikidata.org/entity/Q110212634,Pál Halasa,1885,male,Czechoslovakia,Europe,"opinion journalist, physician, translator, writer","bibliography, literature, medicine, opinion journalism, translation"
25008,http://www.wikidata.org/entity/Q16222662,Angelika Merkelbach-Pinck,1885,female,Germany,Europe,"folklorist, writer","folklore, literature"
25009,http://www.wikidata.org/entity/Q2387277,Tadeusz Nalepiński,1885,male,Poland,Europe,"literary critic, novelist, playwright, poet, prose writer, writer","creative and professional writing, literary criticism"
25013,http://www.wikidata.org/entity/Q20499274,Olive Wadsley,1885,female,United Kingdom,Europe,"journalist, writer",literature
25019,http://www.wikidata.org/entity/Q40331845,Maria Morozowicz-Szczepkowska,1885,female,Poland,Europe,"actor, playwright, writer","literature, theatre"
25022,http://www.wikidata.org/entity/Q4178758,Herman Wildenvey,1885,male,Norway,Europe,"poet, translator, writer","literature, poetry"
25023,http://www.wikidata.org/entity/Q95176373,Filip Cyril Župka,1885,male,Czechoslovakia,Europe,"librarian, novelist, opinion journalist, playwright, poet, prose writer, writer","drama, library science, literature, opinion journalism"
25029,http://www.wikidata.org/entity/Q21542862,Giorgio Fano,1885,male,Kingdom of Italy,Europe,"linguist, philosopher, secondary school teacher, university teacher, writer","children's literature, dialectic, linguistics, logical positivism, philosophy"
